id,name,fullName,countryId
protos,Protos,Protos,united-kingdom
greifzu,Greifzu,Greifzu,germany
del-roy,Del Roy,Del Roy,united-states-of-america
talbot-lago,Talbot-Lago,Talbot-Lago,france
heck,Heck,Heck,germany
penske,Penske,Team Penske,united-states-of-america
zakspeed,Zakspeed,Zakspeed Racing,germany
de-tomaso,De Tomaso,De Tomaso Modena,italy
stewart,Stewart,Stewart Grand Prix,united-kingdom
maki,Maki,Maki Engineering,japan
kauhsen,Kauhsen,Kauhsen,germany
martini,Martini,Automobiles Martini,france
watson,Watson,Watson,united-states-of-america
mercedes,Mercedes,Mercedes AMG F1,germany
spyker,Spyker,Spyker F1 Team,netherlands
lotus-racing,Lotus Racing,Lotus Racing,malaysia
vanwall,Vanwall,Vanwall,united-kingdom
coloni,Coloni,Scuderia Coloni,italy
rb,RB,Racing Bulls,italy
marussia,Marussia,Marussia F1 Team,united-kingdom
wolf,Wolf,Walter Wolf Racing,canada
footwork,Footwork,Footwork Arrows,united-kingdom
ligier,Ligier,Equipe Ligier,france
boro,Boro,Boro,netherlands
phillips,Phillips,Phillips,united-states-of-america
kuzma,Kuzma,Kuzma,united-states-of-america
alfa-romeo,Alfa Romeo,Alfa Romeo Racing,italy
bar,BAR,British American Racing,united-kingdom
porsche,Porsche,Porsche,germany
matra,Matra,Equipe Matra Sports,france
iso-marlboro,Iso-Marlboro,Iso-Marlboro,united-kingdom
alta,Alta,Alta Car and Engineering Company,united-kingdom
jbw,JBW,JBW Cars,united-kingdom
manor,Manor,Manor Racing,united-kingdom
adams,Adams,Adams,united-states-of-america
venturi,Venturi,Venturi Automobiles,france
alpine,Alpine,Alpine F1 Team,france
