id,name,fullName,countryId
prost,Prost,Prost Grand Prix,france
emeryson,Emeryson,Emeryson Cars,united-kingdom
derrington-francis,Derrington-Francis,Derrington-Francis Racing Team,united-kingdom
lds,LDS,LDS,south-africa
modena,Modena,Modena Team,italy
toro-rosso,Toro Rosso,Scuderia Toro Rosso,italy
pankratz,Pankratz,Pankratz,united-states-of-america
reif,Reif,Reif,germany
osella,Osella,Osella Squadra Corse,italy
midland,Midland,Midland F1 Racing,russia
balsa,Balsa,Balsa,germany
epperly,Epperly,Epperly,united-states-of-america
politoys,Politoys,Politoys,united-kingdom
life,Life,Life Racing Engines,italy
turner,Turner,Turner,united-states-of-america
kick-sauber,Kick Sauber,Kick Sauber F1 Team,germany
brawn,Brawn,Brawn GP Formula One Team,united-kingdom
bmw-sauber,BMW Sauber,BMW Sauber F1 Team,germany
aston-martin,Aston Martin,Aston Martin,united-kingdom
williams,Williams,Williams Grand Prix Engineering,united-kingdom
lec,LEC,LEC Refrigeration Racing,united-kingdom
scirocco,Scirocco,Scirocco-Powell,united-kingdom
mcguire,McGuire,McGuire,australia
force-india,Force India,Force India F1 Team,india
lola,Lola,Lola Cars,united-kingdom
apollon,Apollon,Apollon,switzerland
lotus,Lotus,Team Lotus,united-kingdom
kurtis-kraft,Kurtis Kraft,Kurtis Kraft,united-states-of-america
theodore,Theodore,Theodore Racing,hong-kong
merzario,Merzario,Team Merzario,italy
ferrari,Ferrari,Scuderia Ferrari,italy
connew,Connew,Connew Racing Team,united-kingdom
olson,Olson,Olson,united-states-of-america
bellasi,Bellasi,Bellasi,italy
lyncar,Lyncar,Lyncar,united-kingdom
eurobrun,EuroBrun,EuroBrun Racing,italy
