id,driverId,relationId,type
0,pedro-rodriguez,ricardo-rodriguez,SIBLING
1,max-papis,emerson-fittipaldi,PARENT_IN_LAW
2,jimmy-stewart,jackie-stewart,SIBLING
3,jacques-villeneuve,gilles-villeneuve,PARENT
4,jacques-villeneuve,jacques-villeneuve-sr,PARENTS_SIBLING
5,max-verstappen,jos-verstappen,PARENT
6,mario-andretti,michael-andretti,CHILD
7,eddie-russo,eddie-russo,PARENTS_SIBLING
8,jules-bianchi,lucien-bianchi,GRANDPARENTS_SIBLING
9,nico-rosberg,keke-rosberg,PARENT
10,ian-scheckter,jody-scheckter,SIBLING
11,dick-rathmann,jim-rathmann,SIBLING
12,christian-fittipaldi,wilson-fittipaldi,PARENT
13,christian-fittipaldi,emerson-fittipaldi,PARENTS_SIBLING
14,christian-fittipaldi,pietro-fittipaldi,PARENTS_SIBLINGS_CHILD
15,ralf-schumacher,michael-schumacher,SIBLING
16,ralf-schumacher,mick-schumacher,SIBLINGS_CHILD
