driverId,relationId,type
pedro-rodriguez,ricardo-rodriguez,SIBLING
max-papis,emerson-fittipaldi,PARENT_IN_LAW
jimmy-stewart,jackie-stewart,SIBLING
jacques-villeneuve,jacques-villeneuve-sr,PARENTS_SIBLING
max-verstappen,jos-verstappen,PARENT
mario-andretti,michael-andretti,CHILD
eddie-russo,eddie-russo,PARENTS_SIBLING
jules-bianchi,lucien-bianchi,GRANDPARENTS_SIBLING
nico-rosberg,keke-rosberg,PARENT
ian-scheckter,jody-scheckter,SIBLING
dick-rathmann,jim-rathmann,SIBLING
christian-fittipaldi,pietro-fittipaldi,PARENTS_SIBLINGS_CHILD
