consructorIdFrom,constructorIdTo,yearFrom,yearTo
,politoys,1972,1972
politoys,iso-marlboro,1973,1974
iso-marlboro,frank-williams-racing-cars,1975,1975
frank-williams-racing-cars,wolf-williams,1976,1976
wolf-williams,wolf,1977,1979
,ligier,1976,1996
ligier,prost,1997,2001
,osella,1980,1990
osella,fondmetal,1991,1992
,tyrrell,1970,1998
