consructorIdFrom,constructorIdTo,yearFrom,yearTo
marussia,manor,2016,2016
,arrows,1978,1990
arrows,footwork,1991,1996
footwork,arrows,1997,2002
,sauber,1993,2005
sauber,bmw-sauber,2006,2010
bmw-sauber,sauber,2011,2018
sauber,alfa-romeo,2019,2023
alfa-romeo,kick-sauber,2024,
,politoys,1972,1972
