consructorIdFrom,constructorIdTo,yearFrom,yearTo
racing-point,aston-martin,2021,
,stewart,1997,1999
stewart,jaguar,2000,2004
jaguar,red-bull,2005,
,coloni,1987,1991
coloni,andrea-moda,1992,1992
,march,1970,1989
march,leyton-house,1990,1991
leyton-house,march,1992,1992
,virgin,2010,2011
