id,name,countryId
european,European,united-kingdom
bmw,BMW,germany
cummins,Cummins,united-states-of-america
jaguar,Jaguar,united-kingdom
ats,ATS,italy
climax,Climax,united-kingdom
acer,Acer,taiwan
scarab,Scarab,united-states-of-america
kuchen,Küchen,germany
brm,BRM,united-kingdom
toyota,Toyota,japan
offenhauser,Offenhauser,united-states-of-america
butterworth,Butterworth,united-kingdom
bugatti,Bugatti,france
honda-rbpt,Honda RBPT,japan
