id,name,countryId
borgward,Borgward,germany
ford,Ford,united-states-of-america
honda,Honda,japan
yamaha,Yamaha,japan
megatron,Megatron,germany
plate,Platé,italy
veritas,Veritas,germany
tag-heuer,TAG Heuer,switzerland
mecachrome,Mecachrome,france
maserati,Maserati,italy
emw,EMW,germany
renault,Renault,france
lancia,Lancia,italy
jap,JAP,united-kingdom
rbpt,RBPT,japan
