id,name,countryId
osella,Osella,italy
life,Life,italy
mugen-honda,Mugen-Honda,japan
asiatech,Asiatech,france
aston-martin,Aston Martin,united-kingdom
peugeot,Peugeot,france
ferrari,Ferrari,italy
ilmor,Ilmor,united-kingdom
repco,Repco,australia
fondmetal,Fondmetal,italy
tecno,Tecno,italy
bwt-mercedes,BWT Mercedes,austria
subaru,Subaru,japan
tag,TAG,luxembourg
bpm,BPM,italy
