id,name,countryId
hart,Hart,united-kingdom
judd,Judd,united-kingdom
talbot-lago,Talbot-Lago,france
zakspeed,Zakspeed,germany
de-tomaso,De Tomaso,italy
bristol,Bristol,united-kingdom
mercedes,Mercedes,germany
vanwall,Vanwall,united-kingdom
playlife,Playlife,italy
motori-moderni,Motori Moderni,italy
lamborghini,Lamborghini,italy
alfa-romeo,Alfa Romeo,italy
lea-francis,Lea Francis,united-kingdom
porsche,Porsche,germany
matra,Matra,france
alta,Alta,united-kingdom
