id,circuitId,previousName
0,buenos-aires,Autódromo 17 de Octubre
1,buenos-aires,Autódromo Municipal Ciudad de Buenos Aires
2,buenos-aires,Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires
3,buenos-aires,Autódromo Oscar Alfredo Gálvez
