id,constructorId,name,fullName
alphatauri-at03,alphatauri,AT03,AlphaTauri AT03
footwork-fa17,footwork,FA17,Footwork FA17
ferrari-158,ferrari,158,Ferrari 158
pankratz-d,pankratz,D,Pankratz D
williams-fw22,williams,FW22,Williams FW22
tyrrell-019,tyrrell,019,Tyrrell 019
lotus-102b,lotus,102B,Lotus 102B
fittipaldi-f8c,fittipaldi,F8C,Fittipaldi F8C
frazer-nash-421,frazer-nash,421,Frazer-Nash 421
mclaren-mp4-1e,mclaren,MP4/1E,McLaren MP4/1E
andrea-moda-s921,andrea-moda,S921,Andrea Moda S921
mclaren-mp4-25,mclaren,MP4-25,McLaren MP4-25
iso-marlboro-ir,iso-marlboro,IR,Iso-Marlboro IR
brabham-bt46c,brabham,BT46C,Brabham BT46C
kurtis-kraft-kk500d,kurtis-kraft,KK500D,Kurtis Kraft KK500D
hesketh-308e,hesketh,308E,Hesketh 308E
mclaren-mp4-10b,mclaren,MP4/10B,McLaren MP4/10B
williams-fw33,williams,FW33,Williams FW33
forti-fg01,forti,FG01,Forti FG01
benetton-b191b,benetton,B191B,Benetton B191B
coloni-fc187,coloni,FC187,Coloni FC187
hwm-51,hwm,51,HWM 51
talbot-lago-t26c-da,talbot-lago,T26C-DA,Talbot-Lago T26C-DA
haas-vf-25,haas,VF-25,Haas VF-25
tecno-tf69,tecno,TF69,Tecno TF69
lotus-20,lotus,20,Lotus 20
march-761,march,761,March 761
lotus-56b,lotus,56B,Lotus 56B
ferrari-312t2b,ferrari,312T2B,Ferrari 312T2B
force-india-vjm05,force-india,VJM05,Force India VJM05
arrows-a11,arrows,A11,Arrows A11
tyrrell-015,tyrrell,13,Tyrrell 015
era-b,era,B,ERA B
brabham-bt44b,brabham,BT44B,Brabham BT44B
alfa-romeo-158,alfa-romeo,158,Alfa Romeo 158
kurtis-kraft-350,kurtis-kraft,350,Kurtis Kraft 350
jaguar-r2,jaguar,R2,Jaguar R2
brm-p160e,brm,P160E,BRM P160E
ferrari-375s,ferrari,375S,Ferrari 375S
hrt-f111,hrt,F111,HRT F111
mclaren-m30,mclaren,M30,McLaren M30
mclaren-mp4-27,mclaren,MP4-27,McLaren MP4-27
lotus-77,lotus,77,Lotus 77
benetton-b198,benetton,B198,Benetton B198
shannon-sh1,shannon,SH1,Shannon SH1
hrt-f112,hrt,F112,HRT F112
pawl,pawl,Pawl,Pawl
mclaren-m3a,mclaren,M3A,McLaren M3A
wetteroth,wetteroth,Wetteroth,Wetteroth
merzario-a4,merzario,A4,Merzario A4
ensign-n179,ensign,N179,Ensign N179
krakau,krakau,Krakau,Krakau
kick-sauber-c44,kick-sauber,C44,Kick Sauber C44
ferrari-f399,ferrari,F399,Ferrari F399
ferrari-555,ferrari,555,Ferrari 555
minardi-m188b,minardi,M188B,Minardi M188B
lotus-98t,lotus,98T,Lotus 98T
jaguar-r3,jaguar,R3,Jaguar R3
mclaren-mp4-1b,mclaren,MP4/1B,McLaren MP4/1B
surtees-ts20,surtees,TS20,Surtees TS20
mercedes-f1-w05,mercedes,F1 W05,Mercedes F1 W05 Hybrid
bar-007,bar,6,BAR 006
kurtis-kraft-kk2000,kurtis-kraft,KK2000,Kurtis Kraft KK2000
renault-r31,renault,R31,Renault R31
dallara-f188,dallara,F188,Dallara F188
minardi-m185,minardi,M185,Minardi M185
tyrrell-004,tyrrell,4,Tyrrell 004
jbw-59,jbw,59,JBW 59
ferrari-312b3-74,ferrari,312B3-74,Ferrari 312B3-74
fondmetal-gr01,fondmetal,GR01,Fondmetal GR01
kurtis-kraft-327,kurtis-kraft,327,Kurtis Kraft 327
marchese-championship-racer,marchese,Championship Racer,Marchese Championship Racer
march-721x,march,721X,March 721X
march-731,march,731,March 731
benetton-b199,benetton,B199,Benetton B199
williams-fw12c,williams,FW12C,Williams FW12C
ligier-js7-9,ligier,JS7/9,Ligier JS7/9
sauber-c14,sauber,C14,Sauber C14
mclaren-mcl36,mclaren,MCL36,McLaren MCL36
shadow-dn1,shadow,DN1,Shadow DN1
brabham-bt24,brabham,BT24,Brabham BT24
vanwall-special,vanwall,Special,Vanwall Special
jordan-ej12,jordan,EJ12,Jordan EJ12
ferrari-156-85,ferrari,156/85,Ferrari 156/85
ferrari-f1-86,ferrari,F1/86,Ferrari F1/86
maserati-8ctf,maserati,8CTF,Maserati 8CTF
brabham-bt49c,brabham,BT49C,Brabham BT49C
super-aguri-sa05,super-aguri,SA05,Super Aguri SA05
brabham-bt53,brabham,BT53,Brabham BT53
footwork-a11c,footwork,A11C,Footwork A11C
maserati-4cl,maserati,4CL,Maserati 4CL
protos-f2,protos,F2,Protos F2
ligier-js23b,ligier,JS23B,Ligier JS23B
lds-mk-2,lds,Mk 2,LDS Mk 2
toro-rosso-str7,toro-rosso,STR7,Toro Rosso STR7
super-aguri-sa07,super-aguri,SA07,Super Aguri SA07
brm-p15,brm,P15,BRM P15
aston-butterworth-nb41,aston-butterworth,NB41,Aston Butterworth NB41
benetton-b195,benetton,B195,Benetton B195
alpine-a521,alpine,A521,Alpine A521
williams-fw07,williams,FW07,Williams FW07
williams-fw43,williams,FW43,Williams FW43
vanwall-vw-55,vanwall,VW 55,Vanwall VW 55
alfa-romeo-c42,alfa-romeo,C42,Alfa Romeo C42
sauber-c20,sauber,C20,Sauber C20
brm-p126,brm,P126,BRM P126
alphatauri-at04,alphatauri,AT04,AlphaTauri AT04
mclaren-mp4-24,mclaren,MP4-24,McLaren MP4-24
ferrari-640,ferrari,640,Ferrari 640
renault-r29,renault,R29,Renault R29
renault-r28,renault,R28,Renault R28
williams-fw32,williams,FW32,Williams FW32
gordini-t16,gordini,T16,Gordini T16
bmw-sauber-f1-07,bmw-sauber,F1.07,BMW Sauber F1.07
stevens-chapman-special,stevens,Chapman Special,Stevens Chapman Special
mclaren-mp4-20,mclaren,MP4-20,McLaren MP4-20
lotus-78,lotus,78,Lotus 78
arrows-a22,arrows,A22,Arrows A22
matra-ms120,matra,MS120,Matra MS120
cooper-t51,cooper,T51,Cooper T51
brabham-bt58,brabham,BT58,Brabham BT58
sauber-c19,sauber,C19,Sauber C19
greifzu,greifzu,Greifzu,Greifzu
del-roy,del-roy,Del Roy,Del Roy
frazer-nash-fn48,frazer-nash,FN48,Frazer-Nash FN48
lec-crp1,lec,CRP1,LEC CRP1
nacke-hh48,nacke,HH48,Nacke HH48
dallara-3087,dallara,3087,Dallara 3087
maserati-250f,maserati,250F,Maserati 250F
lotus-49,lotus,49,Lotus 49
alfa-special-special,alfa-special,Special,Alfa Special Special
fittipaldi-f7,fittipaldi,F7,Fittipaldi F7
ferrari-f60,ferrari,F60,Ferrari F60
heck,heck,Heck,Heck
minardi-m195,minardi,M195,Minardi M195
gordini-t16s,gordini,T16S,Gordini T16S
watson-cc-53,watson,CC-53,Watson CC-53
williams-fw08,williams,FW08,Williams FW08
ferrari-f2001b,ferrari,F2001B,Ferrari F2001B
brabham-bt48,brabham,BT48,Brabham BT48
toyota-tf105,toyota,TF105,Toyota TF105
tyrrell-009,tyrrell,009,Tyrrell 009
kurtis-kraft-kk1000,kurtis-kraft,KK1000,Kurtis Kraft KK1000
osella-fa1d,osella,FA1D,Osella FA1D
ferrari-sf-24,ferrari,SF-24,Ferrari SF-24
coloni-fc188b,coloni,FC188B,Coloni FC188B
mclaren-mp4-7a,mclaren,MP4/7A,McLaren MP4/7A
