id,constructorId,name,fullName
brabham-bt19,brabham,BT19,Brabham BT19
brabham-bt55,brabham,BT55,Brabham BT55
brm-p25,brm,P25,BRM P25
wolf-wr5,wolf,WR5,Wolf WR5
tyrrell-012,tyrrell,10,Tyrrell 012
haas-vf-16,haas,VF-16,Haas VF-16
ats-wheels-d7,ats-wheels,D7,ATS D7
benetton-b190b,benetton,B190B,Benetton B190B
lotus-f1-e23,lotus-f1,E23,Lotus E23 Hybrid
toyota-tf106,toyota,TF106,Toyota TF106
ensign-n174,ensign,N174,Ensign N174
ags-jh27,ags,JH27,AGS JH27
toro-rosso-str8,toro-rosso,STR8,Toro Rosso STR8
fittipaldi-f6a,fittipaldi,F6A,Fittipaldi F6A
renault-rs16,renault,R.S.16,Renault R.S.16
ferguson-p99,ferguson,P99,Ferguson P99
williams-fw14b,williams,FW14B,Williams FW14B
minardi-m187,minardi,M187,Minardi M187
arrows-a23,arrows,A23,Arrows A23
footwork-fa13,footwork,FA13,Footwork FA13
mercedes-mgp-w01,mercedes,MGP W01,Mercedes MGP W01
iso-marlboro-fw,iso-marlboro,FW,Iso-Marlboro FW
alpine-a525,alpine,A525,Alpine A525
alfa-romeo-179d,alfa-romeo,179D,Alfa Romeo 179D
brabham-bt60b,brabham,BT60B,Brabham BT60B
tyrrell-005,tyrrell,5,Tyrrell 005
sauber-c12,sauber,C12,Sauber C12
shadow-dn11,shadow,DN11,Shadow DN11
arrows-a10b,arrows,A10B,Arrows A10B
alfa-romeo-184tb,alfa-romeo,184TB,Alfa Romeo 184TB
ferrari-f1-87,ferrari,F1/87,Ferrari F1/87
shadow-dn3,shadow,DN3,Shadow DN3
ferrari-f93a,ferrari,F93A,Ferrari F93A
cisitalia-d46,cisitalia,D46,Cisitalia D46
renault-r23b,renault,R23B,Renault R23B
minardi-m191b,minardi,M191B,Minardi M191B
brabham-bt33,brabham,BT33,Brabham BT33
scarab-f1,scarab,F1,Scarab F1
fittipaldi-f5a,fittipaldi,F5A,Fittipaldi F5A
haas-vf-20,haas,VF-20,Haas VF-20
coloni-c3,coloni,C3,Coloni C3
maki-f102a,maki,F102A,Maki F102A
racing-point-rp20,racing-point,RP20,Racing Point RP20
scirocco-sp,scirocco,SP,Scirocco SP
minardi-ps05,minardi,PS05,Minardi PS05
lotus-97t,lotus,97T,Lotus 97T
lotus-44,lotus,44,Lotus 44
zakspeed-861,zakspeed,861,Zakspeed 861
benetton-b196,benetton,B196,Benetton B196
gordini-t32,gordini,T32,Gordini T32
march-cg891,march,CG891,March CG891
brabham-bt49d,brabham,BT49D,Brabham BT49D
fondmetal-fomet-1,fondmetal,Fomet-1,Fondmetal Fomet-1
kick-sauber-c45,kick-sauber,C45,Kick Sauber C45
ferrari-f310b,ferrari,F310B,Ferrari F310B
fittipaldi-f8,fittipaldi,F8,Fittipaldi F8
bar-004,bar,4,BAR 004
jordan-ej13,jordan,EJ13,Jordan EJ13
force-india-vjm02,force-india,VJM02,Force India VJM02
toyota-tf103,toyota,TF103,Toyota TF103
marussia-mr03,marussia,MR03,Marussia MR03
fittipaldi-f8d,fittipaldi,F8D,Fittipaldi F8D
brabham-bt7,brabham,BT7,Brabham BT7
ferrari-126ck,ferrari,126CK,Ferrari 126CK
arrows-a5,arrows,A5,Arrows A5
osella-fa1l,osella,FA1L,Osella FA1L
brm-p48-57,brm,P48/57,BRM P48/57
de-tomaso-801,de-tomaso,801,De Tomaso 801
osca-4500g,osca,4500G,OSCA 4500G
dunn,dunn,Dunn,Dunn
honda-ra107,honda,RA107,Honda RA107
vanwall-vw-59,vanwall,VW 59,Vanwall VW 59
ferrari-sf-23,ferrari,SF-23,Ferrari SF-23
kurtis-kraft-midget,kurtis-kraft,Midget,Kurtis Kraft Midget
tyrrell-022,tyrrell,18,Tyrrell 022
lotus-99t,lotus,99T,Lotus 99T
gordini-t15,gordini,T15,Gordini T15
ligier-js29c,ligier,JS29C,Ligier JS29C
williams-fw16,williams,FW16,Williams FW16
spirit-101d,spirit,101D,Spirit 101D
