id,constructorId,name,fullName
toyota-tf102,toyota,TF102,Toyota TF102
mclaren-mp4-10c,mclaren,MP4/10C,McLaren MP4/10C
penske-pc3,penske,PC3,Penske PC3
sauber-c22,sauber,C22,Sauber C22
march-741,march,741,March 741
mclaren-m28b,mclaren,M28B,McLaren M28B
kurtis-kraft-kk3000,kurtis-kraft,KK3000,Kurtis Kraft KK3000
brm-p160c,brm,P160C,BRM P160C
mclaren-m19c,mclaren,M19C,McLaren M19C
era-a,era,A,ERA A
red-bull-rb1,red-bull,RB1,Red Bull RB1
brabham-bt46b,brabham,BT46B,Brabham BT46B
aston-martin-amr25,aston-martin,AMR25,Aston Martin AMR25
kuzma-indy-roadster,kuzma,Indy Roadster,Kuzma Indy Roadster
march-881,march,881,March 881
mclaren-mp4-21,mclaren,MP4-21,McLaren MP4-21
lotus-91,lotus,91,Lotus 91
tyrrell-006,tyrrell,6,Tyrrell 006
era-g,era,G,ERA G
ferrari-150-italia,ferrari,150° Italia,Ferrari 150° Italia
ferrari-f310,ferrari,F310,Ferrari F310
leyton-house-cg911,leyton-house,CG911,Leyton House CG911
surtees-ts19,surtees,TS19,Surtees TS19
lola-t102,lola,T102,Lola T102
theodore-ty02,theodore,TY02,Theodore TY02
larrousse-lh93,larrousse,LH93,Larrousse LH93
red-bull-rb21,red-bull,RB21,Red Bull RB21
ligier-js5,ligier,JS5,Ligier JS5
williams-fw17b,williams,FW17B,Williams FW17B
williams-fw21,williams,FW21,Williams FW21
wolf-wr1,wolf,WR1,Wolf WR1
kurtis-kraft-347,kurtis-kraft,347,Kurtis Kraft 347
minardi-m191,minardi,M191,Minardi M191
brabham-bt59y,brabham,BT59Y,Brabham BT59Y
tyrrell-020c,tyrrell,020C,Tyrrell 020C
ligier-js23,ligier,JS23,Ligier JS23
brabham-bt3,brabham,BT3,Brabham BT3
force-india-vjm01,force-india,VJM01,Force India VJM01
minardi-m194,minardi,M194,Minardi M194
lotus-93t,lotus,93T,Lotus 93T
cooper-t81,cooper,T81,Cooper T81
toleman-tg181,toleman,TG181,Toleman TG181
lotus-100t,lotus,100T,Lotus 100T
williams-fw38,williams,FW38,Williams FW38
turner,turner,Turner,Turner
coloni-c3c,coloni,C3C,Coloni C3C
benetton-b194,benetton,B194,Benetton B194
parnelli-vpj4,parnelli,VPJ4,Parnelli VPJ4
alpine-a524,alpine,A524,Alpine A524
ags-jh22,ags,JH22,AGS JH22
renault-re60,renault,RE60,Renault RE60
mercedes-f1-w12,mercedes,F1 W12,Mercedes F1 W12
mclaren-m14a,mclaren,M14A,McLaren M14A
kauhsen-wk,kauhsen,WK,Kauhsen WK
ats-100,ats,100,ATS 100
arrows-a19,arrows,A19,Arrows A19
tecno-pa123-3,tecno,PA123/3,Tecno PA123/3
brm-p201,brm,P201,BRM P201
ats-wheels-d6,ats-wheels,D6,ATS D6
renault-r202,renault,R202,Renault R202
alfa-romeo-c39,alfa-romeo,C39,Alfa Romeo C39
brm-p83,brm,P83,BRM P83
aston-martin-dbr5,aston-martin,DBR5,Aston Martin DBR5
lotus-43,lotus,43,Lotus 43
ats-wheels-d1,ats-wheels,D1,ATS D1
mclaren-m7a,mclaren,M7A,McLaren M7A
bellasi-f1-70,bellasi,F1 70,Bellasi F1 70
ligier-js33,ligier,JS33,Ligier JS33
onyx-ore-1,onyx,ORE-1,Onyx ORE-1
onyx-ore-1b,onyx,ORE-1B,Onyx ORE-1B
brm-p67,brm,P67,BRM P67
bmw-sauber-f1-06,bmw-sauber,F1.06,BMW Sauber F1.06
march-711,march,711,March 711
williams-fw30,williams,FW30,Williams FW30
porsche-rsk,porsche,RSK,Porsche RSK
merzario-a1b,merzario,A1B,Merzario A1B
mercedes-f1-w14,mercedes,F1 W14,Mercedes F1 W14
fry-f2,fry,F2,Fry F2
eagle-mk-1,eagle,Mk 1,Eagle Mk 1
lds-mk-1,lds,Mk 1,LDS Mk 1
cooper-special,cooper,Special,Cooper Special
mclaren-m23,mclaren,M23,McLaren M23
mclaren-mp4-19,mclaren,MP4-19,McLaren MP4-19
lotus-16,lotus,16,Lotus 16
kurtis-kraft-3,kurtis-kraft,3,Kurtis Kraft 3
lotus-69-special,lotus,69 Special,Lotus 69 Special
modena-291,modena,291,Lambo 291
brm-p201b,brm,P201B,BRM P201B
theodore-tr1,theodore,TR1,Theodore TR1
brabham-bt23b,brabham,BT23B,Brabham BT23B
gilby-62,gilby,62,Gilby 62
behra-porsche-rsk,behra-porsche,RSK,Behra-Porsche RSK
mercedes-f1-w11,mercedes,F1 W11,Mercedes F1 W11
brm-p57,brm,P57,BRM P57
minardi-m02,minardi,M02,Minardi M02
toro-rosso-str10,toro-rosso,STR10,Toro Rosso STR10
mclaren-mp4-11,mclaren,MP4/11,McLaren MP4/11
ferrari-625,ferrari,625,Ferrari 625
ligier-js33b,ligier,JS33B,Ligier JS33B
lola-lc90,lola,LC90,Lola LC90
arrows-a21,arrows,A21,Arrows A21
mclaren-mp4-8,mclaren,MP4/8,McLaren MP4/8
brabham-bt46,brabham,BT46,Brabham BT46
lola-lc89b,lola,LC89B,Lola LC89B
alfa-romeo-182,alfa-romeo,182,Alfa Romeo 182
alfa-romeo-185t,alfa-romeo,185T,Alfa Romeo 185T
