id,constructorId,name,fullName
williams-fw44,williams,FW44,Williams FW44
brm-p48,brm,P48,BRM P48
olson-special,olson,Special,Olson Special
kurtis-kraft-kk500j,kurtis-kraft,KK500J,Kurtis Kraft KK500J
lancia-d50,lancia,D50,Lancia D50
coloni-c4,coloni,C4,Coloni C4
ensign-n173,ensign,N173,Ensign N173
lotus-80,lotus,80,Lotus 80
lotus-87b,lotus,87B,Lotus 87B
arrows-a4,arrows,A4,Arrows A4
nichels,nichels,Nichels,Nichels
meskowski,meskowski,Meskowski,Meskowski
bromme,bromme,Bromme,Bromme
toyota-tf109,toyota,TF109,Toyota TF109
mclaren-mcl33,mclaren,MCL33,McLaren MCL33
hrt-f110,hrt,F110,HRT F110
mclaren-mp4-3,mclaren,MP4/3,McLaren MP4/3
lotus-59b,lotus,59B,Lotus 59B
kurtis-kraft-kk500e,kurtis-kraft,KK500E,Kurtis Kraft KK500E
williams-fw11,williams,FW11,Williams FW11
frank-williams-racing-cars-fw04,frank-williams-racing-cars,FW04,Williams FW04
williams-fw18,williams,FW18,Williams FW18
sauber-c35,sauber,C35,Sauber C35
ligier-js17b,ligier,JS17B,Ligier JS17B
ferrari-312b3,ferrari,312B3,Ferrari 312B3
racing-bulls-vcarb-02,racing-bulls,VCARB 02,Racing Bulls VCARB 02
spirit-201c,spirit,201C,Spirit 201C
red-bull-rb7,red-bull,RB7,Red Bull RB7
arrows-a8,arrows,A8,Arrows A8
bar-005,bar,5,BAR 005
ferrari-f1-75,ferrari,F1-75,Ferrari F1-75
mclaren-mcl38,mclaren,MCL38,McLaren MCL38
zakspeed-871,zakspeed,871,Zakspeed 871
cooper-t24,cooper,T24,Cooper T24
ensign-n180b,ensign,N180B,Ensign N180B
cooper-t44,cooper,T44,Cooper T44
renault-rs01,renault,RS01,Renault RS01
force-india-vjm09,force-india,VJM09,Force India VJM09
matra-ms9,matra,MS9,Matra MS9
brm-p138,brm,P138,BRM P138
brabham-bt52b,brabham,BT52B,Brabham BT52B
hwm-52,hwm,52,HWM 52
lotus-101,lotus,101,Lotus 101
alpine-a523,alpine,A523,Alpine A523
coloni-fc188,coloni,FC188,Coloni FC188
brabham-bt42,brabham,BT42,Brabham BT42
brm-p160,brm,P160,BRM P160
stevens-belanger-indy-special,stevens,Belanger Indy Special,Stevens Belanger Indy Special
tyrrell-017b,tyrrell,017B,Tyrrell 017B
vanwall-vw-11,vanwall,VW 11,Vanwall VW 11
honda-ra272,honda,RA272,Honda RA272
zakspeed-841,zakspeed,841,Zakspeed 841
minardi-m195b,minardi,M195B,Minardi M195B
bmw-sauber-f1-08,bmw-sauber,F1.08,BMW Sauber F1.08
ferrari-412t1b,ferrari,412T1B,Ferrari 412T1B
lotus-22,lotus,22,Lotus 22
lotus-88,lotus,88,Lotus 88
tyrrell-003,tyrrell,3,Tyrrell 003
de-tomaso-f1-003,de-tomaso,F1/003,De Tomaso F1/003
fittipaldi-fd03,fittipaldi,FD03,Fittipaldi FD03
lotus-79,lotus,79,Lotus 79
ensign-n175,ensign,N175,Ensign N175
ferrari-801,ferrari,801,Ferrari 801
shadow-dn7,shadow,DN7,Shadow DN7
minardi-m189,minardi,M189,Minardi M189
ats-wheels-d2,ats-wheels,D2,ATS D2
lotus-21,lotus,21,Lotus 21
cooper-t81b,cooper,T81B,Cooper T81B
ferrari-312-69,ferrari,312/69,Ferrari 312/69
ferrari-sf21,ferrari,SF21,Ferrari SF21
tyrrell-018,tyrrell,018,Tyrrell 018
toleman-tg183,toleman,TG183,Toleman TG183
pacific-pr02,pacific,PR02,Pacific PR02
sauber-c16,sauber,C16,Sauber C16
haas-vf-24,haas,VF-24,Haas VF-24
red-bull-rb10,red-bull,RB10,Red Bull RB10
ligier-js39,ligier,JS39,Ligier JS39
larrousse-lh95,larrousse,LH95,Larrousse LH95
lotus-49b,lotus,49B,Lotus 49B
lotus-63,lotus,63,Lotus 63
jordan-196,jordan,196,Jordan 196
reif,reif,Reif,Reif
footwork-fa12c,footwork,FA12C,Footwork FA12C
hesketh-308d,hesketh,308D,Hesketh 308D
ferrari-1512,ferrari,1512,Ferrari 1512
brabham-bt34,brabham,BT34,Brabham BT34
mclaren-mp4-23,mclaren,MP4-23,McLaren MP4-23
renault-rs10,renault,RS10,Renault RS10
williams-fw17,williams,FW17,Williams FW17
mercedes-w196,mercedes,W196,Mercedes W196
veritas-rs,veritas,RS,Veritas RS
ram-03,ram,3,RAM 03
benetton-b187,benetton,B187,Benetton B187
footwork-fa16,footwork,FA16,Footwork FA16
ferrari-312-66,ferrari,312/66,Ferrari 312/66
williams-fw46,williams,FW46,Williams FW46
